Disease,Category,Severity,Symptoms,Additional_Symptoms,Risk_Factors
Sjogren's Syndrome,Autoimmune,Moderate,"Severely dry eyes, persistently dry mouth, joint pain and swelling, fatigue","Swollen salivary glands, skin rashes, vaginal dryness, persistent dry cough","Female sex, age 40-60, other autoimmune conditions, family history"
Type 1 Diabetes Complications,Autoimmune,Severe,"Diabetic ketoacidosis, extreme thirst, fruity breath odor, abdominal pain","Confusion, weakness, vomiting, rapid breathing, dehydration","Uncontrolled blood sugar, infection, missed insulin doses, illness"
Prostate Cancer,Oncological,Moderate to Severe,"Difficulty urinating, weak urine stream, blood in urine or semen, pelvic discomfort","Bone pain especially in back or hips, erectile dysfunction, weight loss","Age over 65, African American ethnicity, family history, obesity"
Bladder Cancer,Oncological,Moderate to Severe,"Blood in urine without pain, frequent urination, painful urination, back or pelvic pain","Urinary urgency, weak urine stream, urinary incontinence","Smoking, chemical exposure, chronic bladder infections, age over 55"
Ovarian Cancer,Oncological,Moderate to Severe,"Bloating, pelvic or abdominal pain, difficulty eating, frequent urination","Constipation, back pain, fatigue, menstrual changes, unexplained weight loss","Family history, BRCA mutations, age over 50, hormone therapy, endometriosis"
Thyroid Cancer,Oncological,Moderate,"Lump in neck, swollen lymph nodes, hoarse voice, difficulty swallowing","Neck pain, difficulty breathing, persistent cough not from cold","Radiation exposure, family history, iodine deficiency, female sex"
Kidney Disease,Urological,Moderate to Severe,"Swelling in legs and feet, fatigue, shortness of breath, nausea","Decreased urine output, confusion, persistent itching, muscle cramps","Diabetes, hypertension, family history, age over 60, smoking"
Prostatitis,Urological,Mild to Moderate,"Pelvic pain, painful or difficult urination, frequent urination, pain during ejaculation","Lower back pain, groin pain, flu-like symptoms in acute cases, urinary urgency","Urinary tract infection, urinary catheter use, recent prostate biopsy"
Overactive Bladder,Urological,Mild,"Sudden urgent need to urinate, frequent urination (more than 8 times daily), urge incontinence","Nocturia, embarrassment, avoidance of activities, anxiety","Age, female sex, neurological disorders, diabetes, obesity, caffeine"
Glaucoma,Ophthalmological,Moderate to Severe,"Gradual loss of peripheral vision, tunnel vision in advanced stages, eye pain","Headache, nausea, vomiting, blurred vision, halos around lights","Age over 60, family history, elevated eye pressure, high myopia, diabetes"
Cataracts,Ophthalmological,Mild to Moderate,"Cloudy or blurry vision, faded colors, poor night vision, glare sensitivity","Double vision in one eye, frequent prescription changes, halos around lights","Age over 60, diabetes, smoking, prolonged steroid use, UV exposure"
Macular Degeneration,Ophthalmological,Moderate to Severe,"Blurry or fuzzy central vision, difficulty reading, straight lines appearing wavy","Dark or empty areas in central vision, colors appearing less bright","Age over 60, smoking, family history, obesity, high blood pressure"
Conjunctivitis,Ophthalmological,Mild,"Red or pink eye, eye discharge causing crusting, itching, tearing","Burning sensation, swollen eyelids, sensitivity to light, blurred vision","Bacterial or viral infection, allergies, contact lens use, poor hygiene"
Retinal Detachment,Ophthalmological,Severe,"Sudden floaters or flashes of light, shadow in peripheral vision, blurred vision","Curtain-like shadow over visual field, reduced vision, visual distortions","Nearsightedness, previous eye surgery, trauma, family history, age"
Endometriosis,Reproductive,Moderate to Severe,"Painful periods with cramps, chronic pelvic pain, pain during intercourse, heavy bleeding","Infertility, painful bowel movements, fatigue, bloating, nausea","Family history, early menstruation, never giving birth, hormonal imbalance"
Polycystic Ovary Syndrome,Reproductive,Moderate,"Irregular periods, excess androgen causing facial hair, thinning scalp hair, acne","Polycystic ovaries, weight gain, darkened skin, skin tags, infertility","Insulin resistance, obesity, family history, inflammation"
Uterine Fibroids,Reproductive,Mild to Moderate,"Heavy menstrual bleeding, prolonged periods, pelvic pressure, frequent urination","Constipation, backache, leg pain, difficulty emptying bladder","African American ethnicity, obesity, family history, early menstruation"
Cervical Cancer,Reproductive,Moderate to Severe,"Abnormal vaginal bleeding between periods, bleeding after intercourse, pelvic pain","Unusual vaginal discharge, pain during intercourse, leg swelling","HPV infection, smoking, multiple sexual partners, weakened immunity"
Erectile Dysfunction,Reproductive,Mild to Moderate,"Difficulty getting or maintaining erection, reduced sexual desire, performance anxiety","Relationship stress, depression, low self-esteem","Cardiovascular disease, diabetes, obesity, smoking, alcohol, stress"
Attention Deficit Hyperactivity Disorder,Mental Health,Mild to Moderate,"Inattention, difficulty focusing, hyperactivity, impulsivity, forgetfulness","Disorganization, poor time management, mood swings, low frustration tolerance","Genetics, premature birth, low birth weight, brain injury, environmental toxins"
Obsessive Compulsive Disorder,Mental Health,Moderate,"Obsessive unwanted thoughts, compulsive repetitive behaviors, anxiety when unable to perform rituals","Time-consuming rituals, avoidance behaviors, shame, relationship difficulties","Family history, stressful life events, brain chemistry, streptococcal infection"
Eating Disorders,Mental Health,Severe,"Extreme restriction of food intake or binge eating, distorted body image, obsession with weight","Extreme weight changes, fatigue, dental erosion, hair loss, heart irregularities","Female sex, adolescence, family history, dieting, trauma, perfectionism"
Borderline Personality Disorder,Mental Health,Moderate to Severe,"Intense fear of abandonment, unstable relationships, impulsive behavior, self-harm","Identity disturbance, emotional instability, chronic emptiness, anger outbursts","Childhood trauma or abuse, brain chemistry, genetic predisposition"
Autism Spectrum Disorder,Mental Health,Mild to Severe,"Difficulty with social communication, restricted interests, repetitive behaviors, sensory sensitivities","Delayed speech, difficulty maintaining eye contact, preference for routines","Genetic factors, advanced parental age, premature birth, environmental factors"
Dengue Hemorrhagic Fever,Infectious,Severe,"High fever, severe abdominal pain, persistent vomiting, rapid breathing, bleeding gums","Fatigue, restlessness, blood in vomit or stool, organ impairment","Previous dengue infection, Aedes mosquito, tropical regions, weak immunity"
Zika Virus,Infectious,Mild to Moderate,"Mild fever, rash, joint pain, red eyes, muscle pain","Headache, fatigue, microcephaly in newborns, Guillain-Barre syndrome","Aedes mosquito bite, tropical travel, unprotected sex with infected person"
Rabies,Infectious,Severe,"Fever, headache, agitation, confusion, excessive salivation, hydrophobia","Hallucinations, insomnia, paralysis, delirium, coma, aerophobia","Animal bite especially dogs, bats, raccoons, foxes, no post-exposure prophylaxis"
Tetanus,Infectious,Severe,"Jaw stiffness (lockjaw), muscle spasms, difficulty swallowing, rigid abdomen","Fever, sweating, elevated blood pressure, rapid heartbeat, painful spasms","Wound contamination, no tetanus vaccination, puncture wounds, soil exposure"
Shingles,Infectious,Moderate,"Painful rash on one side of body, burning or shooting pain, fluid-filled blisters","Sensitivity to touch, itching, numbness, fever, fatigue","Age over 50, weakened immunity, stress, previous chickenpox infection"
Mumps,Infectious,Mild to Moderate,"Swollen painful salivary glands, puffy cheeks, painful chewing, fever","Headache, muscle aches, fatigue, loss of appetite, orchitis in males","Unvaccinated, close contact, age 2-12 or college-aged"
Rubella,Infectious,Mild,"Pink or red rash starting on face spreading to body, low fever, swollen lymph nodes","Joint pain, runny nose, red eyes, headache, congenital defects in newborns","Unvaccinated, pregnancy, close contact with infected person"
Whooping Cough,Respiratory,Moderate to Severe,"Severe coughing fits followed by high-pitched whooping sound, vomiting after coughing","Runny nose, low-grade fever, nasal congestion, apnea in infants","Unvaccinated, close contact, age under 1 year or adolescents, waning immunity"
Pleural Effusion,Respiratory,Moderate to Severe,"Shortness of breath, chest pain worsening on inhalation, dry non-productive cough","Fever if infection present, hiccups, difficulty lying flat","Heart failure, pneumonia, cancer, liver disease, pulmonary embolism"
Sleep Apnea,Respiratory,Mild to Moderate,"Loud snoring, gasping or choking during sleep, excessive daytime sleepiness, morning headaches","Difficulty concentrating, mood changes, dry mouth, frequent nighttime urination","Obesity, large neck circumference, smoking, alcohol, nasal congestion, age"
Pulmonary Embolism,Respiratory,Severe,"Sudden shortness of breath, chest pain worsening with breathing, rapid heart rate, cough","Coughing blood, leg swelling, excessive sweating, light-headedness, bluish lips","Deep vein thrombosis, prolonged immobility, surgery, cancer, pregnancy"
Celiac Sprue,Gastrointestinal,Moderate,"Diarrhea after gluten exposure, abdominal bloating, gas and cramping, weight loss","Nausea, vomiting, constipation, pale foul-smelling stool, fatigue","Genetic predisposition, family history, Type 1 diabetes, Down syndrome"
Crohn's Disease,Gastrointestinal,Moderate to Severe,"Persistent diarrhea, abdominal pain and cramping, blood in stool, weight loss","Fatigue, reduced appetite, fever, mouth sores, anal fissures","Family history, smoking, NSAID use, age under 30, urban living"
Ulcerative Colitis,Gastrointestinal,Moderate to Severe,"Bloody diarrhea, abdominal cramping, urgency to defecate, weight loss","Fatigue, fever, rectal pain, failure to defecate despite urgency","Family history, age 15-30 or over 60, Jewish ancestry, urban living"
Gallstones,Gastrointestinal,Mild to Severe,"Sudden intense pain in upper right abdomen, pain radiating to shoulder, nausea","Vomiting, back pain between shoulder blades, clay-colored stools, jaundice","Female sex, obesity, age over 40, pregnancy, rapid weight loss, cholesterol"
Diverticulitis,Gastrointestinal,Moderate to Severe,"Severe abdominal pain usually lower left side, fever, nausea, change in bowel habits","Bloating, constipation or diarrhea, blood in stool, tender abdomen","Age over 40, low-fiber diet, obesity, smoking, sedentary lifestyle"
Hemorrhoids,Gastrointestinal,Mild,"Rectal bleeding during bowel movements, itching around anus, pain or discomfort","Swelling around anus, leakage of feces, feeling of incomplete emptying","Straining during bowel movements, chronic constipation, pregnancy, obesity"
Vitiligo,Dermatological,Mild,"White patches on skin starting on hands face or genitals, premature hair greying","Loss of color in mouth or nose lining, color change in retina","Autoimmune conditions, family history, sunburn, stress, chemical exposure"
Rosacea,Dermatological,Mild to Moderate,"Facial redness flushing easily, visible blood vessels on face, pimple-like bumps","Eye irritation, skin thickening especially on nose, burning sensation","Fair skin, age 30-60, female sex, family history, sun exposure, hot beverages"
Alopecia Areata,Dermatological,Mild to Moderate,"Patchy hair loss on scalp, smooth round bald patches, hair loss on eyebrows or beard","Nail pitting or ridging, burning sensation before hair loss, anxiety, depression","Autoimmune conditions, family history, stress, thyroid disease"
Scabies,Dermatological,Mild,"Intense itching especially at night, pimple-like rash, burrow tracks on skin","Secondary bacterial infection from scratching, rash in skin folds, crusted scabies","Close physical contact, crowded living conditions, weakened immunity"
Hypothermia,Emergency,Severe,"Shivering, slurred speech, slow shallow breathing, weak pulse, confusion","Drowsiness, loss of coordination, bright red cold skin in infants, unconsciousness","Cold exposure, wet clothing, age extremes, malnutrition, alcohol, cardiovascular disease"
Heat Stroke,Emergency,Severe,"High body temperature above 104F, altered mental state or confusion, nausea","Hot dry skin, rapid strong pulse, headache, dizziness, unconsciousness","Hot weather, strenuous activity, dehydration, alcohol, certain medications"
Anaphylaxis,Emergency,Severe,"Skin reactions including hives and flushing, throat tightening, difficulty breathing","Weak rapid pulse, nausea, vomiting, dizziness, loss of consciousness","Food allergies especially nuts or shellfish, insect stings, medications, latex"
Sepsis,Emergency,Severe,"Fever or abnormally low temperature, elevated heart rate, rapid breathing, confusion","Extreme pain, clammy skin, decreased urine output, altered consciousness","Bacterial infection, age extremes, weak immunity, chronic disease, hospitalization"
Rickets,Pediatric,Moderate,"Delayed growth, pain in spine legs and pelvis, muscle weakness, bowed legs","Thickened wrists and ankles, breastbone projection, dental problems","Vitamin D deficiency, poor calcium intake, limited sun exposure, dark skin"
Kawasaki Disease,Pediatric,Moderate to Severe,"High prolonged fever, rash, swollen lymph nodes in neck, red eyes without discharge","Red cracked lips, swollen hands and feet, peeling skin on fingers, irritability","Age under 5, Asian or Pacific Islander ethnicity, male sex, genetic factors"
Hand Foot and Mouth Disease,Pediatric,Mild,"Fever, painful sores in mouth, rash with blisters on hands and feet","Loss of appetite, sore throat, irritability, drooling in infants","Age under 5, daycare attendance, summer or fall season, contact with infected"
Croup,Pediatric,Mild to Moderate,"Barking cough, stridor, hoarse voice, low-grade fever, respiratory distress","Difficulty breathing especially at night, restlessness, cyanosis in severe cases","Age 6 months to 3 years, autumn and winter, male sex, viral infections"
Sickle Cell Disease,Hematologic,Severe,"Episodes of pain (crises) in chest back arms and legs, swelling in hands and feet, fatigue","Frequent infections, delayed growth, vision problems, jaundice, anemia","Both parents carrying sickle cell trait, African or Mediterranean ancestry"
Hemophilia,Hematologic,Moderate to Severe,"Excessive bleeding from cuts, prolonged bleeding after injury, easy bruising","Spontaneous bleeding into joints or muscles, deep internal bleeding, pain and swelling","X-linked genetic mutation, family history, almost exclusively in males"
Polycythemia Vera,Hematologic,Moderate,"Itching after bathing, headaches, dizziness, redness of face, sweating","Fatigue, shortness of breath, numbness in extremities, gout, spleen enlargement","JAK2 mutation, age over 60, male sex, family history"
Thalassemia,Hematologic,Mild to Severe,"Fatigue, weakness, pale or yellowish skin, facial bone deformities, slow growth","Abdominal swelling, dark urine, frequent infections, bone pain","Both parents carrying the trait, Mediterranean, Middle Eastern or Asian ancestry"
Addison's Disease,Endocrine,Moderate to Severe,"Fatigue, weight loss, low blood pressure, darkening of skin, muscle weakness","Nausea, vomiting, diarrhea, abdominal pain, craving for salt, depression","Autoimmune destruction, tuberculosis, HIV, blood thinners, cancer"
Cushing's Syndrome,Endocrine,Moderate,"Weight gain especially in face and trunk, purple stretch marks, easy bruising","Thin fragile skin, slow wound healing, facial hair in women, irregular periods","Prolonged corticosteroid use, pituitary or adrenal tumor, family history"
Acromegaly,Endocrine,Moderate,"Enlarged hands and feet, facial features coarsening, enlarged tongue, joint pain","Excessive sweating, body odor, sleep apnea, headaches, vision changes","Growth hormone secreting pituitary tumor, usually sporadic, rarely genetic"
Raynaud's Disease,Vascular,Mild,"Fingers and toes turning white then blue then red in response to cold or stress","Numbness tingling and pain during color changes, throbbing on rewarming","Female sex, age under 30, family history, cold climate, autoimmune disease"
